date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Oct%202023%2023:07:37%20GMT	https://chaintools.ai/robots.txt		(from )
00:07:37	19022/19022	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2014:23:31%20GMT	https://chaintools.ai/	C:/Users/admin/Documents/mumu/chaintools.ai/index.html	(from )
00:07:37	27473/27473	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/logo.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/logo.png	(from https://chaintools.ai/)
00:07:38	39005/39005	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2021:16:56%20GMT	https://chaintools.ai/assets/css/index.css	C:/Users/admin/Documents/mumu/chaintools.ai/assets/css/index.css	(from https://chaintools.ai/)
00:07:39	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/admin/Documents/mumu/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://chaintools.ai/)
00:07:40	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/admin/Documents/mumu/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://chaintools.ai/)
00:07:41	12371/12371	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Sep%202023%2021:17:02%20GMT	https://chaintools.ai/assets/javascript/script.js	C:/Users/admin/Documents/mumu/chaintools.ai/assets/javascript/script.js	(from https://chaintools.ai/)
00:07:41	367/367	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/down.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/down.png	(from https://chaintools.ai/)
00:07:41	52372/52372	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/main-logo.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/main-logo.png	(from https://chaintools.ai/)
00:07:43	82658/82658	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/rt1.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/rt1.png	(from https://chaintools.ai/)
00:07:43	214630/214630	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/hero-img.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/hero-img.png	(from https://chaintools.ai/)
00:07:44	5857/5857	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/bar.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/bar.png	(from https://chaintools.ai/)
00:07:44	1403/1403	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/token%20line.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/token%20line.png	(from https://chaintools.ai/)
00:07:45	172359/172359	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/token%202.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/token%202.png	(from https://chaintools.ai/)
00:07:45	179091/179091	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/token%201.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/token%201.png	(from https://chaintools.ai/)
00:07:46	190165/190165	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2010:17:30%20GMT	https://chaintools.ai/assets/images/token%203.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/token%203.png	(from https://chaintools.ai/)
00:07:47	2404/2404	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Sep%202023%2023:44:36%20GMT	https://chaintools.ai/assets/images/eco1.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/eco1.png	(from https://chaintools.ai/)
00:07:47	57465/57465	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Sep%202023%2023:41:24%20GMT	https://chaintools.ai/assets/images/bg.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/bg.png	(from https://chaintools.ai/)
00:07:47	4341/4341	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Sep%202023%2023:45:12%20GMT	https://chaintools.ai/assets/images/eco2.png	C:/Users/admin/Documents/mumu/chaintools.ai/assets/images/eco2.png	(from https://chaintools.ai/)
